Date,Product,Category,Region,Units_Sold,Revenue,Cost,Profit
2024-01-05,Widget A,Electronics,North,150,4500.00,2700.00,1800.00
2024-01-05,Widget B,Electronics,South,89,2670.00,1602.00,1068.00
2024-01-05,Gadget X,Home & Garden,East,45,1350.00,900.00,450.00
2024-01-05,Gadget Y,Home & Garden,West,67,2010.00,1340.00,670.00
2024-01-05,Tool Alpha,Tools,North,200,6000.00,4000.00,2000.00
2024-01-12,Widget A,Electronics,South,175,5250.00,3150.00,2100.00
2024-01-12,Widget B,Electronics,East,92,2760.00,1656.00,1104.00
2024-01-12,Gadget X,Home & Garden,West,38,1140.00,760.00,380.00
2024-01-12,Gadget Y,Home & Garden,North,71,2130.00,1420.00,710.00
2024-01-12,Tool Alpha,Tools,South,185,5550.00,3700.00,1850.00
2024-01-19,Widget A,Electronics,East,160,4800.00,2880.00,1920.00
2024-01-19,Widget B,Electronics,West,105,3150.00,1890.00,1260.00
2024-01-19,Gadget X,Home & Garden,North,52,1560.00,1040.00,520.00
2024-01-19,Gadget Y,Home & Garden,South,48,1440.00,960.00,480.00
2024-01-19,Tool Alpha,Tools,East,210,6300.00,4200.00,2100.00
2024-01-26,Widget A,Electronics,West,140,4200.00,2520.00,1680.00
2024-01-26,Widget B,Electronics,North,98,2940.00,1764.00,1176.00
2024-01-26,Gadget X,Home & Garden,South,41,1230.00,820.00,410.00
2024-01-26,Gadget Y,Home & Garden,East,59,1770.00,1180.00,590.00
2024-01-26,Tool Alpha,Tools,West,195,5850.00,3900.00,1950.00
2024-02-02,Widget A,Electronics,North,165,4950.00,2970.00,1980.00
2024-02-02,Widget B,Electronics,South,110,3300.00,1980.00,1320.00
2024-02-02,Gadget X,Home & Garden,East,55,1650.00,1100.00,550.00
2024-02-02,Gadget Y,Home & Garden,West,62,1860.00,1240.00,620.00
2024-02-02,Tool Alpha,Tools,North,220,6600.00,4400.00,2200.00
2024-02-09,Widget A,Electronics,South,155,4650.00,2790.00,1860.00
2024-02-09,Widget B,Electronics,East,87,2610.00,1566.00,1044.00
2024-02-09,Gadget X,Home & Garden,West,49,1470.00,980.00,490.00
2024-02-09,Gadget Y,Home & Garden,North,73,2190.00,1460.00,730.00
2024-02-09,Tool Alpha,Tools,South,205,6150.00,4100.00,2050.00
2024-02-16,Widget A,Electronics,East,180,5400.00,3240.00,2160.00
2024-02-16,Widget B,Electronics,West,95,2850.00,1710.00,1140.00
2024-02-16,Gadget X,Home & Garden,North,60,1800.00,1200.00,600.00
2024-02-16,Gadget Y,Home & Garden,South,55,1650.00,1100.00,550.00
2024-02-16,Tool Alpha,Tools,East,230,6900.00,4600.00,2300.00
2024-02-23,Widget A,Electronics,West,145,4350.00,2610.00,1740.00
2024-02-23,Widget B,Electronics,North,101,3030.00,1818.00,1212.00
2024-02-23,Gadget X,Home & Garden,South,43,1290.00,860.00,430.00
2024-02-23,Gadget Y,Home & Garden,East,65,1950.00,1300.00,650.00
2024-02-23,Tool Alpha,Tools,West,215,6450.00,4300.00,2150.00
2024-03-01,Widget A,Electronics,North,190,5700.00,3420.00,2280.00
